,0
nAcid,484.1886116991581
nBase,484.1886116991581
SpAbs_A,484.1886116991581
SpMax_A,484.1886116991581
SpDiam_A,484.1886116991581
SpAD_A,484.1886116991581
SpMAD_A,484.1886116991581
LogEE_A,484.1886116991581
VE1_A,484.1886116991581
VE2_A,484.1886116991581
VE3_A,484.1886116991581
VR1_A,0.0
VR2_A,484.1886116991581
VR3_A,484.1886116991581
nAromAtom,484.1886116991581
nAromBond,484.1886116991581
nAtom,484.1886116991581
nHeavyAtom,484.1886116991581
nSpiro,484.1886116991581
nBridgehead,484.1886116991581
nHetero,484.1886116991581
nH,484.1886116991581
nB,136.19980342729988
nC,484.1886116991581
nN,484.1886116991581
nO,484.1886116991581
nS,484.1886116991581
nP,484.1886116991581
nF,484.1886116991581
nCl,484.1886116991581
nBr,484.1886116991581
nI,484.1886116991581
nX,484.1886116991581
ATS0dv,484.1886116991581
ATS1dv,484.1886116991581
ATS2dv,0.0
ATS3dv,0.0
ATS4dv,0.0
ATS5dv,0.0
ATS6dv,484.1886116991581
ATS7dv,484.1886116991581
ATS8dv,484.1886116991581
ATS0d,484.1886116991581
ATS1d,484.1886116991581
ATS2d,484.1886116991581
ATS3d,484.1886116991581
ATS4d,484.1886116991581
ATS5d,484.1886116991581
ATS6d,484.1886116991581
ATS7d,484.1886116991581
ATS8d,484.1886116991581
ATS0s,484.1886116991581
ATS1s,484.1886116991581
ATS2s,484.1886116991581
ATS3s,484.1886116991581
ATS4s,0.0
ATS5s,0.0
ATS6s,484.1886116991581
ATS7s,484.1886116991581
ATS8s,484.1886116991581
ATS0Z,0.0
ATS1Z,0.0
ATS2Z,0.0
ATS3Z,0.0
ATS4Z,0.0
ATS5Z,0.0
ATS6Z,0.0
ATS7Z,0.0
ATS8Z,0.0
ATS0m,0.0
ATS1m,0.0
ATS2m,0.0
ATS3m,0.0
ATS4m,0.0
ATS5m,0.0
ATS6m,0.0
ATS7m,0.0
ATS8m,0.0
ATS0v,0.0
ATS1v,0.0
ATS2v,0.0
ATS3v,0.0
ATS4v,0.0
ATS5v,0.0
ATS6v,0.0
ATS7v,0.0
ATS8v,0.0
ATS0se,484.1886116991581
ATS1se,484.1886116991581
ATS2se,0.0
ATS3se,0.0
ATS4se,0.0
ATS5se,0.0
ATS6se,0.0
ATS7se,0.0
ATS8se,0.0
ATS0pe,484.1886116991581
ATS1pe,484.1886116991581
ATS2pe,0.0
ATS3pe,0.0
ATS4pe,0.0
ATS5pe,0.0
ATS6pe,0.0
ATS7pe,0.0
ATS8pe,0.0
ATS0are,484.1886116991581
ATS1are,484.1886116991581
ATS2are,0.0
ATS3are,0.0
ATS4are,0.0
ATS5are,0.0
ATS6are,0.0
ATS7are,0.0
ATS8are,0.0
ATS0p,484.1886116991581
ATS1p,484.1886116991581
ATS2p,484.1886116991581
ATS3p,484.1886116991581
ATS4p,484.1886116991581
ATS5p,484.1886116991581
ATS6p,484.1886116991581
ATS7p,484.1886116991581
ATS8p,484.1886116991581
ATS0i,0.0
ATS1i,0.0
ATS2i,0.0
ATS3i,0.0
ATS4i,0.0
ATS5i,0.0
ATS6i,0.0
ATS7i,0.0
ATS8i,0.0
AATS0dv,484.1886116991581
AATS1dv,484.1886116991581
AATS2dv,484.1886116991581
AATS0d,484.1886116991581
AATS1d,484.1886116991581
AATS2d,484.1886116991581
AATS0s,484.1886116991581
AATS1s,484.1886116991581
AATS2s,484.1886116991581
AATS0Z,484.1886116991581
AATS1Z,484.1886116991581
AATS2Z,484.1886116991581
AATS0m,484.1886116991581
AATS1m,484.1886116991581
AATS2m,484.1886116991581
AATS0v,484.1886116991581
AATS1v,484.1886116991581
AATS2v,484.1886116991581
AATS0se,484.1886116991581
AATS1se,484.1886116991581
AATS2se,484.1886116991581
AATS0pe,484.1886116991581
AATS1pe,484.1886116991581
AATS2pe,484.1886116991581
AATS0are,484.1886116991581
AATS1are,484.1886116991581
AATS2are,484.1886116991581
AATS0p,484.1886116991581
AATS1p,484.1886116991581
AATS2p,484.1886116991581
AATS0i,484.1886116991581
AATS1i,484.1886116991581
AATS2i,484.1886116991581
ATSC0dv,484.1886116991581
ATSC1dv,484.1886116991581
ATSC2dv,484.1886116991581
ATSC3dv,515.8113883008419
ATSC4dv,515.8113883008419
ATSC5dv,515.8113883008419
ATSC6dv,515.8113883008419
ATSC7dv,515.8113883008419
ATSC8dv,515.8113883008419
ATSC0d,484.1886116991581
